kyBP,Prec_5KYR_AVG_DIFF,Humidity_5kyr_AVG_DIFF,Humidity_5kyr_AVG_DIFF_1,Humidity_3kyr_AVG_DIFF,Prec_3KYR_AVG_DIFF
205.5,-0.001409091,0.043,1.043,-0.144584694,-0.003214286
206,-0.000545455,0.028,1.028,0.233465906,-0.002285714
206.5,0.000227273,0.142,1.142,0.476336219,-0.0015
207,0.001136364,0.177,1.177,0.605982132,-0.0005
207.5,0.001909091,0.166,1.166,0.596248757,0.000285714
208,0.002772727,0.073,1.073,0.316245657,0.001285714
208.5,0.003454545,-0.015,0.985,0.149169443,0.002
209,0.004136364,-0.213,0.787,-0.096876514,0.002928571
209.5,0.004636364,-0.429,0.571,-0.342141718,0.003571429
210,0.005136364,-0.475,0.525,-0.390835149,0.004357143
210.5,0.0055,-0.495,0.505,-0.436991367,0.004928571
211,0.005818182,-0.464,0.536,-0.546519601,0.0055
211.5,0.006,-0.354,0.646,-0.484561598,0.005857143
212,0.006090909,-0.325,0.675,-0.493196979,0.006214286
212.5,0.006045455,-0.3,0.7,-0.44908941,0.006357143
213,0.005863636,-0.325,0.675,-0.394345268,0.006428571
213.5,0.005590909,-0.293,0.707,-0.356065577,0.006357143
214,0.005181818,-0.207,0.793,-0.337958716,0.006142857
214.5,0.004772727,-0.036,0.964,-0.234809837,0.005928571
215,0.004136364,-0.034,0.966,-0.178616289,0.0055
215.5,0.0035,-0.06,0.94,-0.104520851,0.005071429
216,0.002727273,-0.048,0.952,0.014950907,0.004428571
216.5,0.002,-0.055,0.945,0.126070771,0.003857143
217,0.001090909,-0.034,0.966,0.019312078,0.002928571
217.5,0.000272727,0.002,1.002,-0.077229688,0.002142857
218,-0.000636364,0.066,1.066,-0.052931071,0.001142857
218.5,-0.001409091,0.148,1.148,0.02995945,0.000357143
219,-0.002318182,0.137,1.137,0.050864613,-0.000714286
219.5,-0.003090909,0.056,1.056,-0.008594731,-0.001571429
220,-0.003909091,-0.019,0.981,-0.07516574,-0.002571429
220.5,-0.0045,0.101,1.101,0.107429878,-0.003214286
221,-0.005045455,0.215,1.215,0.204659205,-0.004071429
221.5,-0.005454545,0.248,1.248,0.178771432,-0.004714286
222,-0.005863636,0.256,1.256,0.181223144,-0.005428571
